,vertex,cn,x,y,z,symbolic,Wyckoff,symmetry,order
0,V1,3,0.3285,0.1104,0.13,"x, y, z",32 g,1,1
1,V2,3,0.0672,0.0469,0.3349,"x, y, z",32 g,1,1
2,V3,3,0.1019,0.1918,0.0011,"x, y, z",32 g,1,1
3,V4,3,0.1144,0.2536,0.2577,"x, y, z",32 g,1,1
4,V5,3,0.1787,0.1518,0.2532,"x, y, z",32 g,1,1
5,V6,3,0.2825,0.0632,0.08,"x, y, z",32 g,1,1
6,V7,4,0.3808,0.1267,0.2345,"x, y, z",32 g,1,1
7,V8,4,0.3685,0.0689,0.1825,"x, y, z",32 g,1,1
8,V9,4,0.1863,0.2772,0.0076,"x, y, z",32 g,1,1
9,V10,4,0.277,0.0047,0.2051,"x, y, z",32 g,1,1
10,V11,4,0.2738,0.2761,0.0487,"x, y, z",32 g,1,1
11,V12,4,0.2754,0.0794,0.252,"x, y, z",32 g,1,1
