,vertex,cs1,cs2,cs3,cs4,cs5,cs6,cs7,cs8,cs9,cs10,cum10,vertex symbol
0,V1,4,8,14,23,35,49,61,73,91,117,476,3.4.4.12(2).12(2).12(2)
1,V2,4,8,14,23,35,47,58,72,91,119,472,3.12(3).4.4.12(2).12(2)
2,V3,4,8,14,20,31,47,57,73,95,119,469,3.4.4.12(3).12(2).*
3,V4,4,8,13,20,31,46,59,79,100,123,484,3.12(2).4.4.12.12(2)
4,V5,4,8,14,20,30,46,60,79,97,118,477,3.4.4.12(2).12.12
5,V6,4,7,10,17,30,44,56,76,96,117,458,3.4.4.12(2).12(2).*
6,V7,4,8,11,19,30,48,57,71,95,125,469,4.4.4.4.12.*
7,V8,4,7,11,18,30,49,65,73,86,110,454,3.12(5).4.4.12(2).*
8,V9,4,8,12,19,35,50,57,70,95,115,466,3.4.4.12(3).12.12(2)
9,V10,3,5,9,15,24,40,58,71,82,102,410,3.4.12(2)
